radii,E
1.511781,0.043473447219
1.700754,0.014230860838
1.889726,-0.011075529992
2.078699,-0.032174813026
2.267671,-0.049098860294
2.456644,-0.062102648025
2.645617,-0.071584576579
2.834589,-0.078006790373
3.023562,-0.081863305852
3.212534,-0.083616267433
3.401507,-0.083695947505
3.590480,-0.082484810412
3.779452,-0.080285640428
3.968425,-0.077385285812
4.157397,-0.074022786778
4.346370,-0.070357503472
4.535343,-0.066564732050
4.724315,-0.062756024614
4.913288,-0.059011061236
5.102261,-0.055393585972
5.291233,-0.051951406867
5.480206,-0.048700459934
5.669178,-0.045656681188
5.858151,-0.042836006644
6.047124,-0.040222500286
6.236096,-0.037800226101
6.425069,-0.035585120103
6.614041,-0.033545310262
6.803014,-0.031680796580
6.991987,-0.029959707028
7.180959,-0.028397977619
7.369932,-0.026947800311
7.558904,-0.025625111117
7.747877,-0.024398038010
7.936850,-0.023282517004
8.125822,-0.022230740055
8.314795,-0.021274579193
8.503768,-0.020366226373
8.692740,-0.019537553625
8.881713,-0.018756688921
9.070685,-0.018023632260
9.259658,-0.017338383642
9.448631,-0.016700943066
9.637603,-0.016095374520
9.826576,-0.015521678003
10.015548,-0.014979853514
10.204521,-0.014469901054
10.393494,-0.013975884608
10.582466,-0.013513740191
10.771439,-0.013083467803
10.960412,-0.012653195415
11.149384,-0.012254795055
11.338357,-0.011888266725
11.527329,-0.011521738394
11.716302,-0.011171146078
11.905275,-0.010836489776
12.094247,-0.010517769488
12.283220,-0.010214985215
12.472192,-0.009912200942
12.661165,-0.009641288698
12.850138,-0.009354440439
13.039110,-0.009099464209
13.228083,-0.008844487979
13.417055,-0.008605447763
13.606028,-0.008366407548
13.795001,-0.008143303346
13.983973,-0.007936135159
14.172946,-0.007728966973
14.361919,-0.007521798786
14.550891,-0.007330566613
14.739864,-0.007139334441
14.928836,-0.006948102268
15.117809,-0.006772806110
15.306782,-0.006597509952
15.495754,-0.006438149808
15.684727,-0.006278789664
15.873699,-0.006119429521
16.062672,-0.005976005391
16.251645,-0.005832581262
16.440617,-0.005689157132
16.629590,-0.005545733003
16.818563,-0.005418244888
