# r_bohr,V_hartree
1.307425149700598688e+01,5.543277100975916964e-03
1.310850299401197461e+01,5.125423132930570676e-03
1.314275449101796234e+01,4.735113799748823585e-03
1.317700598802395184e+01,4.370613318317661915e-03
1.321125748502993957e+01,4.030299440857000419e-03
1.324550898203592730e+01,3.712655937620592313e-03
1.327976047904191503e+01,3.416265562225479641e-03
1.331401197604790276e+01,3.139803470364712495e-03
1.334826347305389049e+01,2.882031064310662440e-03
1.338251497005988000e+01,2.641790237181793066e-03
1.341676646706586773e+01,2.417997992429257986e-03
1.345101796407185546e+01,2.209641415404505968e-03
1.348526946107784319e+01,2.015772975200049496e-03
1.351952095808383092e+01,1.835506136214754306e-03
1.355377245508981865e+01,1.668011260087527746e-03
1.358802395209580816e+01,1.512511779771319584e-03
1.362227544910179589e+01,1.368280628586652061e-03
1.365652694610778362e+01,1.234636908103064860e-03
1.369077844311377135e+01,1.110942779651493068e-03
1.372502994011975908e+01,9.966005651724130394e-04
1.375928143712574681e+01,8.910500439572855130e-04
1.379353293413173631e+01,7.937659326461803241e-04
1.382778443113772404e+01,7.042555366052500199e-04
1.386203592814371177e+01,6.220565615259617508e-04
1.389628742514969950e+01,5.467350747662663279e-04
1.393053892215568723e+01,4.778836065936960817e-04
1.396479041916167496e+01,4.151193820942730857e-04
1.399904191616766447e+01,3.580826750805988622e-04
1.403329341317365220e+01,3.064352758695434390e-04
1.406754491017963993e+01,2.598590653061456164e-04
1.410179640718562766e+01,2.180546878875314651e-04
1.413604790419161539e+01,1.807403172900460511e-04
1.417029940119760312e+01,1.476505080262109268e-04
1.420455089820359262e+01,1.185351273567247646e-04
1.423880239520958035e+01,9.315836195794835993e-05
1.427305389221556808e+01,7.129779419838310265e-05
1.430730538922155581e+01,5.274354320983721866e-05
1.434155688622754354e+01,3.729746625129296456e-05
1.437580838323353127e+01,2.477241615716430770e-05
1.441005988023952078e+01,1.499155093760356007e-05
1.444431137724550851e+01,7.787691857804623273e-06
1.447856287425149624e+01,3.002726566744772015e-06
1.451281437125748397e+01,4.870540744624372326e-07
1.454706586826347170e+01,9.906859152117950204e-08
1.458131736526945943e+01,1.704679445639021601e-06
1.461556886227544894e+01,5.176864479289844448e-06
1.464982035928143667e+01,1.039525450908039049e-05
1.468407185628742440e+01,1.724574659364784112e-05
1.471832335329341213e+01,2.562014401222213918e-05
1.475257485029939986e+01,3.541582100157770872e-05
1.478682634730538759e+01,4.653541043535981946e-05
1.482107784431137709e+01,5.888651275727832638e-05
1.485532934131736482e+01,7.238142459893435110e-05
1.488958083832335255e+01,8.693688562458280669e-05
1.492383233532934028e+01,1.024738422493400616e-04
1.495808383233532801e+01,1.189172269747396625e-04
1.499233532934131574e+01,1.361957521764631566e-04
1.502658682634730525e+01,1.542417172639469697e-04
1.506083832335329298e+01,1.729908282107507492e-04
1.509508982035928071e+01,1.923820285284306780e-04
1.512934131736526844e+01,2.123573408254706969e-04
1.516359281437125617e+01,2.328617181569789046e-04
1.519784431137724390e+01,2.538429044305547003e-04
1.523209580838323340e+01,2.752513031893261413e-04
1.526634730538922113e+01,2.970398541448414712e-04
